Name,Cite,z,ZCite,IDunWISE,RA,Dec,W1mag,W2mag,lumbol
UVQSJ194732.37-421750.0,UVQS,0.242,UVQS,2973m425o0021083,296.88488971,-42.29721601,12.14692445275855,11.127767914658955,7.108997091321404E45
HS 0840+2630,1123,0.257,DR16Q,1316p257o0020858,130.95731511,26.31967645,12.295641875193198,11.236107653340444,7.105200859844355E45
RXS J23574+0458,1853,0.283,DR16,0000p045o0017805,359.3704637,4.97017419,12.53453795889381,11.629724828799406,7.105018452362073E45
SDSS J222024.58+010931.3,DR16Q,0.213,DR16,3357p015o0007363,335.10244546,1.15872056,11.8355388303987,10.859946253393844,7.104158777317027E45
MARK 463E,1237,0.051,0029,2093p181o0016428,209.01200249,18.37169602,8.510956363421373,7.216562357262743,7.086144590195916E45
RX J17030+1910,1325,0.291,DR16Q,2560p196o0005930,255.76204828,19.17612869,12.607850808521867,11.628653746855017,7.079711362632897E45
PGC 3237,PGC,0.155,0220,0133p257o0007822,13.71715131,25.42752811,11.076184845953325,10.10243231328854,7.071111402303313E45
HE 1304-1157,1518,0.294,1518,1962m122o0010651,196.76602049,-12.22004054,12.63562709754693,11.535492941687451,7.065452922652606E45
MS 22152-0347,0227,0.241,1782,3342m031o0004131,334.44890394,-3.54399301,12.145670263082147,11.32129398343084,7.050832168981848E45
HE 1419-1048,1518,0.265,1518,2153m107o0005431,215.53391653,-11.04283174,12.381034107314123,11.339969084376463,7.042579249364871E45
SDSS J093653.84+533126.8,DR16Q,0.228,DR16,1454p530o0022834,144.22437193,53.52414123,12.0121889425333,11.045979084919855,7.034958328133746E45
HE 1236-2001,2086,0.196,2086,1904m197o0002840,189.75724096,-20.29189,11.64690844190327,10.700346501686775,7.018826581169057E45
RX J14069+1442,1960,0.266,DR16Q,2113p151o0005727,211.74461492,14.71065531,12.39572894777141,11.17526968951364,7.007827983204516E45
SDSS J114954.98+044812.8,DR16Q,0.272,DR16Q,1777p045o0014998,177.47913684,4.80358968,12.452521013235971,11.42195256200287,6.998050094610958E45
RXS J03340-6132,1677,0.176,1677,0536m621o0032378,53.50808726,-61.53809729,11.391412234712648,10.384451119676433,6.994813593771517E45
IRAS 22419-6049,0478,0.113,1091,3420m606o0014714,341.29707147,-60.56548984,10.344940036169952,9.237858515007428,6.98955802455164E45
GPQ J050334.54+454956.1,GPQ,0.229,GPQ,0766p454o0037647,75.89388317,45.83227592,12.030493403203952,10.982515811312366,6.985899591132947E45
PGC 1073853,PGC,0.213,DR16Q,1800m031o0007930,179.4716709,-3.26029025,11.854664437518077,10.900835629612065,6.98011240638832E45
PKS 0338-214,0209,0.223,1625,0548m213o0011535,55.14833369,-21.32530936,11.966537687709032,11.014598943506646,6.979843461200334E45
GPQ J081858.50-075615.0,GPQ,0.293,GPQ,1250m076o0009598,124.74374193,-7.93751089,12.640719741821265,11.685954317974929,6.977534810539525E45
KUV 03197+0045,0996,0.185,DR16Q,0499p015o0003085,50.55793518,0.92038719,11.51444008306908,10.446756725209934,6.974416059904696E45
HE 0435-3952,1518,0.271,1518,0696m394o0008163,69.25065482,-39.76980915,12.447440444921035,11.472382493859769,6.971970973635707E45
QBQS J020556.09-195325.5,QUBRIX,0.205,QUBRIX,0320m197o0009055,31.48368809,-19.8904956,11.76466145218438,10.71289778321021,6.960789702302828E45
PKS 1725+044,0390,0.293,0554,2627p045o0019492,262.10393455,4.45131278,12.64442163235849,11.55228034339208,6.95378494818863E45
RXS J03491-4711,0740,0.299,0740,0567m470o0011907,57.28210603,-47.1844577,12.696837551602028,11.719450791815069,6.942285824820269E45
PGC 325168,PGC,0.19,1202,0462m637o0003947,47.64493074,-64.20146601,11.586794948569544,10.569544251756788,6.922680901782344E45
PGC 2644117,PGC,0.236,0672,2675p636o0000234,268.94155681,62.82497262,12.116682596272735,11.149145024245858,6.906386613689425E45
CBS 56,1595,0.3,DR16Q,1843p302o0023219,184.33927375,30.94188538,12.711381686676631,11.7284822650792,6.90276420594064E45
H 1643-113,1525,0.075,1525,2518m122o0038634,251.54327728,-11.40115502,9.413390480595575,8.269425410568111,6.902117684670641E45
TON S210,0226,0.117,0436,0205m288o0019677,20.46459585,-28.34937437,10.439815646251695,9.462559413194834,6.901870746598055E45
2MASS J15218+2251,0305,0.287,1155,2296p227o0016886,230.46274547,22.8558211,12.604426714529044,11.33888791509018,6.879969181553189E45
6QZ J023250.8-283320,2QZ,0.211,2QZ,0377m288o0016554,38.21164794,-28.55552625,11.85059733300334,10.893171139795667,6.859786287309018E45
HE 0101-5556,2086,0.201,2086,0159m561o0022469,15.80374832,-55.67187205,11.735923060007586,10.858580713035089,6.839829108356002E45
ABQ J2331-6642,ABQ,0.274,ABQ,3525m667o0013534,352.83067796,-66.70055464,12.4955575823064,11.539923336898712,6.839634478393463E45
2dFGRS S463Z081,1202,0.249,1202,0370m319o0004025,36.77729418,-32.34574417,12.25928955438784,11.289179208150518,6.837912063596823E45
RXS J00252-2051,1677,0.24,1677,0064m213o0018371,6.31981361,-20.85601508,12.17071280383733,11.1988239208654,6.825557610944584E45
6dF J080955.4-025804,6dF,0.275,6dF,1225m031o0018723,122.48086868,-2.96789136,12.50714589374523,11.52081011690676,6.823614930540683E45
2MASS J01573+1712,0305,0.213,1155,0298p166o0019661,29.33767438,17.21339051,11.879576216732977,10.860281912154752,6.821779926724679E45
SDSS J080000.05+152326.1,DR16,0.275,LOZAGN,1205p151o0018894,120.00024715,15.39061766,12.50994734333626,11.20020042795028,6.806031126564429E45
PGC 667575,PGC,0.128,2dF,3563m334o0000374,356.10099296,-34.07107059,10.666585468726796,9.641682175019884,6.798860611884285E45
